ID,Purpose,Test steps
50,50 concurrent users,"Run operation with a logged-in user. For example, searches and exports. Measure response times in the web interface. Run the same operations with 50 concurrent users. Measure response times in the web interface."
7,Buyer’s licences - management,Verify that all licenses provided by  Göteborg Energi are listed in Snow and managed in the application.
11,Buyer's licenses – theory,Verify that the document Customer Platform Specification GBE PRD lists all licenses that Göteborg Energi shall be responsible for.
192,Importing of measurement data,"Verify that HES has functionality to import measurement data from a standardized text file format, such as csv."
