ID,Feature,Description
SR3,Remove source from home repository ,A capability must be provided for a user to remove a source from its home repository.  
SR12,Confirm inventory,A capability must be provided to confirm source inventory.  Note: An inventory of all registered sources is required by the Department of Energy (DOE) every six months. 
SR20,Time-out timers,"A time-out timer must be provided for each transaction such that if the user does not complete a transaction within a time limit, the transaction is cancelled and the screen returns to the main menu.  Note: this is needed so that a user or Custodian doesn’t accidentally enter their Z number and leave the computer open for anyone (unauthorized people) to make changes."
