model,quantization,dataset,iteration,time_to_analyze,gpu_util_mean,gpu_util_max,vram_util_mean,vram_util_max,vram_max_usage_mib
MIS,AWQ,BTHS,10,13.648246898548678,66.22916666666667,100.0,27.020833333333332,69.0,6089.0
MIS,AWQ,HW,1,23.6447210223414,57.151162790697676,100.0,16.151162790697676,65.0,5519.0
MIS,AWQ,HW,2,22.161609364906326,58.78048780487805,100.0,16.829268292682926,54.0,5519.0
MIS,AWQ,HW,3,23.883114274591208,59.20224719101124,100.0,17.48314606741573,61.0,5519.0
MIS,AWQ,HW,4,22.17893299786374,58.68292682926829,100.0,17.463414634146343,59.0,5519.0
MIS,AWQ,HW,5,22.957419135142118,56.43529411764706,100.0,16.011764705882353,68.0,5519.0
MIS,AWQ,HW,6,23.302504169754684,58.95402298850575,100.0,17.862068965517242,59.0,5519.0
MIS,AWQ,HW,7,23.212020128034055,58.98837209302326,100.0,17.127906976744185,58.0,5519.0
MIS,AWQ,HW,8,22.38419728190638,58.76829268292683,100.0,17.23170731707317,68.0,5519.0
MIS,AWQ,HW,9,22.46431340673007,57.94047619047619,98.0,17.023809523809526,64.0,5519.0
MIS,AWQ,HW,10,22.632224809378386,59.433734939759034,100.0,18.096385542168676,58.0,5519.0
MIS,AWQ,MOZILLA,1,17.829353196546435,82.34426229508196,100.0,47.278688524590166,67.0,5947.0
MIS,AWQ,MOZILLA,2,18.2803529931698,82.70588235294117,100.0,47.76470588235294,67.0,6429.0
MIS,AWQ,MOZILLA,3,17.079087954945862,82.9,100.0,46.61666666666667,66.0,6081.0
MIS,AWQ,MOZILLA,4,24.984052073210478,78.23404255319149,100.0,40.88297872340426,67.0,6129.0
MIS,AWQ,MOZILLA,5,23.163431165041402,83.55294117647058,100.0,46.50588235294118,66.0,6253.0
MIS,AWQ,MOZILLA,6,20.844699610490352,84.1842105263158,100.0,48.3421052631579,66.0,6241.0
MIS,AWQ,MOZILLA,7,18.361184463603422,80.6470588235294,100.0,44.80882352941177,66.0,6403.0
MIS,AWQ,MOZILLA,8,18.883144774008542,81.66197183098592,100.0,46.605633802816904,67.0,6025.0
MIS,AWQ,MOZILLA,9,19.752880174899474,79.08571428571429,100.0,42.4,67.0,6231.0
MIS,AWQ,MOZILLA,10,16.814817770849913,76.14754098360656,100.0,40.83606557377049,67.0,5721.0
MIS,GPTQ,AMINA,1,25.213683802401647,92.59,100.0,36.6,50.0,6759.0
MIS,GPTQ,AMINA,2,123.7998388078995,95.08536585365853,100.0,32.516260162601625,51.0,6645.0
MIS,GPTQ,AMINA,3,142.8514765079599,95.66783216783217,100.0,35.31293706293706,49.0,6855.0
MIS,GPTQ,AMINA,4,13.670407195575535,90.79245283018868,100.0,36.924528301886795,49.0,6403.0
MIS,GPTQ,AMINA,5,14.696806134888902,91.33928571428571,100.0,34.982142857142854,51.0,6369.0
MIS,GPTQ,AMINA,6,18.017254224978387,91.12328767123287,100.0,35.68493150684932,52.0,6509.0
MIS,GPTQ,AMINA,7,23.183365230681375,94.9,100.0,36.144444444444446,50.0,6499.0
MIS,GPTQ,AMINA,8,17.27056010416709,92.30882352941177,100.0,38.338235294117645,50.0,6713.0
MIS,GPTQ,AMINA,9,13.395818387856707,89.28846153846153,100.0,34.40384615384615,51.0,6181.0
MIS,GPTQ,AMINA,10,14.082044521579519,89.75,100.0,35.464285714285715,51.0,6401.0
MIS,GPTQ,BTHS,1,9.346899933880195,91.11764705882354,100.0,35.55882352941177,50.0,7175.0
MIS,GPTQ,BTHS,2,9.267877316335216,87.38888888888889,100.0,32.47222222222222,50.0,7175.0
MIS,GPTQ,BTHS,3,9.272039166651666,88.0,100.0,33.05555555555556,50.0,7175.0
MIS,GPTQ,BTHS,4,9.17812132416293,92.33333333333333,100.0,34.84848484848485,50.0,7175.0
MIS,GPTQ,BTHS,5,8.307126979809254,82.17647058823529,100.0,31.470588235294116,50.0,7175.0
MIS,GPTQ,BTHS,6,8.659539193147793,85.05714285714286,100.0,32.457142857142856,48.0,7175.0
MIS,GPTQ,BTHS,7,9.214148385217413,84.55263157894737,100.0,31.736842105263158,50.0,7175.0
MIS,GPTQ,BTHS,8,9.212894642958418,86.78378378378379,100.0,32.729729729729726,50.0,7175.0
MIS,GPTQ,BTHS,9,9.293347872793674,89.94117647058823,100.0,33.44117647058823,48.0,7175.0
MIS,GPTQ,BTHS,10,9.23793456191197,91.52941176470588,100.0,34.05882352941177,50.0,7175.0
MIS,GPTQ,HW,1,9.365241026738659,89.54285714285714,100.0,31.571428571428573,52.0,6463.0
MIS,GPTQ,HW,2,10.095805507618934,88.175,100.0,30.325,52.0,6463.0
MIS,GPTQ,HW,3,9.26390531542711,86.11428571428571,100.0,31.02857142857143,52.0,6463.0
MIS,GPTQ,HW,4,9.209755501942709,85.0,100.0,30.05263157894737,52.0,6463.0
MIS,GPTQ,HW,5,11.747570533305407,89.3695652173913,100.0,30.195652173913043,50.0,6463.0
MIS,GPTQ,HW,6,10.099601302295923,87.1951219512195,100.0,29.829268292682926,52.0,6463.0
MIS,GPTQ,HW,7,9.159422661643475,90.02941176470588,100.0,32.38235294117647,52.0,6463.0
MIS,GPTQ,HW,8,10.964832163183019,89.32558139534883,100.0,30.25581395348837,50.0,6463.0
MIS,GPTQ,HW,9,10.219309945823625,85.8048780487805,100.0,29.195121951219512,52.0,6463.0
MIS,GPTQ,HW,10,9.258059072773904,88.5,100.0,31.416666666666668,52.0,6463.0
MIS,GPTQ,MOZILLA,1,15.915210018632933,92.16129032258064,100.0,40.725806451612904,48.0,6847.0
MIS,GPTQ,MOZILLA,2,16.047117737820372,92.63492063492063,100.0,41.34920634920635,48.0,7307.0
MIS,GPTQ,MOZILLA,3,14.70428352477029,90.03333333333333,100.0,39.666666666666664,47.0,7055.0
MIS,GPTQ,MOZILLA,4,18.103383380919695,91.0958904109589,100.0,40.3013698630137,48.0,6999.0
MIS,GPTQ,MOZILLA,5,18.889068408869207,94.30555555555556,100.0,42.361111111111114,47.0,7237.0
MIS,GPTQ,MOZILLA,6,18.39202636387199,92.81944444444444,100.0,41.84722222222222,48.0,7311.0
MIS,GPTQ,MOZILLA,7,15.931610172847286,91.58730158730158,100.0,41.53968253968254,49.0,7283.0
MIS,GPTQ,MOZILLA,8,16.96902899374254,92.04545454545455,100.0,41.31818181818182,48.0,6941.0
MIS,GPTQ,MOZILLA,9,18.501252990216017,93.125,100.0,39.31944444444444,48.0,7173.0
MIS,GPTQ,MOZILLA,10,12.41222494491376,90.08,100.0,41.52,49.0,6781.0
MIS,NONE,AMINA,1,20.693163722287863,93.5679012345679,100.0,52.407407407407405,64.0,15773.0
MIS,NONE,AMINA,2,13.31047356268391,81.56896551724138,100.0,46.01724137931034,61.0,15507.0
MIS,NONE,AMINA,3,654.4473725685384,96.87199082919373,100.0,66.1310661062285,68.0,21983.0
MIS,NONE,AMINA,4,12.492251276737079,86.27777777777777,100.0,44.22222222222222,63.0,15491.0
MIS,NONE,AMINA,5,13.575897695031017,83.93333333333334,100.0,46.13333333333333,61.0,15415.0
MIS,NONE,AMINA,6,626.0118686454371,96.79073482428115,100.0,66.07188498402556,68.0,23475.0
MIS,NONE,AMINA,7,12.449489167425781,86.62962962962963,100.0,43.7037037037037,58.0,15491.0
MIS,NONE,AMINA,8,15.019595418125391,86.66153846153846,100.0,44.56923076923077,63.0,15801.0
MIS,NONE,AMINA,9,12.783483009086922,82.55357142857143,100.0,43.482142857142854,59.0,15193.0
MIS,NONE,AMINA,10,12.839451444568112,82.94444444444444,100.0,44.7037037037037,62.0,15491.0
MIS,NONE,BTHS,1,8.502018510363996,92.6,100.0,53.13333333333333,64.0,16327.0
MIS,NONE,BTHS,2,8.36040019756183,81.23684210526316,100.0,43.526315789473685,64.0,16327.0
MIS,NONE,BTHS,3,8.397119480883703,80.02702702702703,100.0,42.67567567567568,64.0,16327.0
MIS,NONE,BTHS,4,8.32121651340276,80.69444444444444,100.0,43.47222222222222,64.0,16327.0
MIS,NONE,BTHS,5,8.379404145292938,81.29729729729729,100.0,44.21621621621622,64.0,16327.0
MIS,NONE,BTHS,6,8.310197819024324,77.92105263157895,100.0,41.60526315789474,64.0,16327.0
MIS,NONE,BTHS,7,8.3222163496539,78.575,100.0,41.525,64.0,16327.0
MIS,NONE,BTHS,8,8.601111568510532,76.22857142857143,100.0,38.714285714285715,64.0,16327.0
MIS,NONE,BTHS,9,8.323662449140102,79.5,100.0,41.78947368421053,64.0,16327.0
MIS,NONE,BTHS,10,8.35051475209184,79.225,100.0,42.25,64.0,16327.0
MIS,NONE,HW,1,7.877507111988962,79.52777777777777,99.0,43.333333333333336,62.0,15531.0
MIS,NONE,HW,2,10.969480651197955,76.57692307692308,99.0,44.55769230769231,63.0,15531.0
MIS,NONE,HW,3,9.303094119764864,82.1951219512195,100.0,47.09756097560975,63.0,15531.0
MIS,NONE,HW,4,9.27300085988827,80.0952380952381,96.0,46.11904761904762,63.0,15531.0
MIS,NONE,HW,5,8.336811193730682,76.73684210526316,100.0,42.473684210526315,62.0,15531.0
MIS,NONE,HW,6,8.385642415843904,78.73684210526316,100.0,43.44736842105263,63.0,15531.0
MIS,NONE,HW,7,11.292294455692172,82.4375,100.0,48.041666666666664,62.0,15531.0
MIS,NONE,HW,8,10.112218900816515,79.26666666666667,100.0,45.71111111111111,62.0,15531.0
MIS,NONE,HW,9,10.25116338999942,81.6590909090909,100.0,48.11363636363637,62.0,15531.0
MIS,NONE,HW,10,7.847452931571752,78.11428571428571,99.0,43.714285714285715,62.0,15531.0
MIS,NONE,MOZILLA,1,14.208387822844088,95.49056603773585,100.0,42.58490566037736,57.0,15861.0
MIS,NONE,MOZILLA,2,15.211521154735237,92.03389830508475,100.0,43.08474576271186,62.0,16347.0
MIS,NONE,MOZILLA,3,13.25765800382942,91.07692307692308,100.0,41.86538461538461,58.0,16183.0
MIS,NONE,MOZILLA,4,17.190950957126915,92.40298507462687,100.0,43.940298507462686,64.0,16139.0
MIS,NONE,MOZILLA,5,20.53790403250605,93.85,100.0,44.65,65.0,16193.0
MIS,NONE,MOZILLA,6,17.005741295404732,93.61194029850746,100.0,42.985074626865675,60.0,16167.0
MIS,NONE,MOZILLA,7,14.828519218601286,92.46551724137932,100.0,43.275862068965516,65.0,16263.0
MIS,NONE,MOZILLA,8,15.390012551564723,95.7457627118644,100.0,43.067796610169495,63.0,16069.0
MIS,NONE,MOZILLA,9,17.885403380729258,92.47887323943662,100.0,47.71830985915493,64.0,16179.0
MIS,NONE,MOZILLA,10,11.142949776723981,91.72093023255815,100.0,42.53488372093023,53.0,15883.0
